,0,1,2,3,4,5,6
NONOXIPENT-PWY,1.3823055857377078,1.4667717604930426,0.4420319810495759,0.27383279522781656,1.7403723957988249,0.09208643272941441,2.410693464557509
OANTIGEN-PWY,1.896728173310077,0.18774019908904024,0.0,1.5673910764229688,0.603871784154061,0.4228332068616637,0.6754739889727832
ORNARGDEG-PWY,0.0,0.370674394076627,0.0,0.0,0.0,0.0,0.0
ORNDEG-PWY,0.0,0.7165667104868515,0.0,0.0,0.0,0.0,0.0
P101-PWY,0.0,0.0015450644605381678,0.0,0.0,0.0006813908738625819,4.0400468858465e-12,0.0
P105-PWY,0.0,0.813548469223308,0.0,0.0,0.0,0.0,0.0
P108-PWY,0.20519372829117272,0.13192482589621482,0.2504599541209574,0.0,1.4159655507112482e-12,0.0,7.997613169578668e-09
P122-PWY,0.0,0.2881849101031783,0.0,0.007464834657750831,0.09875648868005582,0.0,0.008261854556837315
P124-PWY,0.0,0.0,0.0,1.3074728206805346,1.0820940307186476e-05,0.0,0.08384155839873032
P125-PWY,0.0,6.163740873543489e-06,0.0,0.019178935631435374,0.3776017218979937,0.0,0.011819946776726079
P161-PWY,2.201756076602741e-10,0.7779695443529077,0.005274239849921038,0.01891386160594744,0.39204871007921815,0.0,0.07401697865187327
P162-PWY,0.0189453357896372,0.005589882922297426,0.06669180752664183,0.0,0.00375811313819785,0.0,0.016471183837517948
P163-PWY,9.760246415549754e-05,0.0,0.012429632280775538,0.0,0.03563549732052015,0.0,0.0023297403125969113
P164-PWY,0.02483406129644444,0.14904430857865336,0.15408540764547252,0.0,0.32245925513515755,0.0,0.9993292196831429
P165-PWY,0.0,0.001872324136392517,0.0,0.0,0.0018587053849418113,0.0,0.0
P185-PWY,9.005948686827933e-07,0.23857549016561577,0.00908046017676347,0.01683202416185809,0.09532219217388606,0.0012049379627368402,0.3242730047644134
P221-PWY,0.0,0.12770342082419492,0.0,0.00011346625067444605,0.0516607491337874,0.0,0.0
P23-PWY,0.015779694733066785,0.0693612090283402,0.0,1.4550982803814661e-15,0.04707258094726462,0.007716804297859585,3.5075112624721976e-14
P241-PWY,0.0004004074559672752,3.3366503844244376e-12,0.0,0.0,0.0006673192357240336,0.0,0.0002396642877300335
P261-PWY,0.0,0.0,0.0,0.0,0.0006559299622767379,0.0,0.0016408156903717425
P4-PWY,7.190624785578226e-09,0.9374993481625309,1.3445457214875788e-05,1.186188860824314,0.0030437348121889756,0.0,0.45227671392494795
P42-PWY,0.26127752267090215,0.1330255621861545,1.27673067155814e-10,0.0,0.275822339649515,0.0,2.3363231408579386e-15
P441-PWY,0.0773603356960804,1.0040642880563542,0.07059099441619243,0.12039569820802469,0.09966586829210534,3.5190224567825924e-09,0.8476925577247651
P461-PWY,2.4139133320968882e-05,1.1059967686731123,0.019713306009150156,0.020664899228929876,0.2534434072063181,0.00017456487967708743,0.6232601139079946
P562-PWY,0.0,0.012820908908177945,0.0,0.002220713811557392,0.10135555918593779,0.0,0.0015335399646447922
P621-PWY,0.0,0.00017169835478616894,0.0,0.010625789921759629,0.046851605527923904,0.0,0.08235865816538539
PANTO-PWY,2.309896354740897,0.4269066503473534,1.9010824348371704,2.8150451483310474e-12,0.3749703662383164,1.5698135188160356,0.5408021860237219
PANTOSYN-PWY,2.4975204761630514,0.28106502079568735,1.8046675562029868,6.12135728500328e-05,0.3977411343637122,1.390569926421806,0.8493821234880348
PENTOSE-P-PWY,0.018389811430843214,0.8974861602392517,1.6363039763758547,0.7534567924237492,0.49687369238089674,0.0,0.5296407945664231
PEPTIDOGLYCANSYN-PWY,4.48308201656722,0.07356631734991567,0.6735663402301767,1.8751365816926187,0.5927838104825877,3.326976030144995,2.649969313353789e-06
PHOSLIPSYN-PWY,0.8400607574036812,1.0123549779606333,0.9534780074200653,0.017818113480782476,0.0,1.4107789502577996,0.38867894931491986
PHOTOALL-PWY,0.0005159813447099862,0.0,0.00022200813017812874,0.0,0.0,4.6966492610483686e-05,9.18957511709412e-05
POLYAMINSYN3-PWY,0.12985098962896885,0.038725112717489484,0.0,0.0,0.0,0.04905712988475285,0.06055953314608353
POLYAMSYN-PWY,0.25905091083377463,0.8961127275295955,0.0,0.0,0.0,0.031073940561034526,0.07762395058079637
POLYISOPRENSYN-PWY,0.0013316424466084658,0.5219684257605477,0.9542165391632276,0.008198158000664016,0.10235268128845088,0.0,0.1632702089551348
PPGPPMET-PWY,0.012148431358029803,0.29328681302821563,0.020155263442901666,5.919799941631021e-15,0.1835327265106504,0.012041757465219403,0.535075746451007
PROPFERM-PWY,0.0034180022120132536,0.0,0.0023240879506135088,0.0,0.0,0.0,0.022146311335314927
PROTOCATECHUATE-ORTHO-CLEAVAGE-PWY,0.00040538971122116034,0.11120387235209929,0.0,0.0,0.0006820427417821752,0.0,0.0
PRPP-PWY,0.28315543784152797,0.8664086690381494,0.400858195664038,0.14765100702998454,0.0,0.0,1.3040267501852107
PWY-101,0.0002629057786558161,0.000296943826131104,0.0015418999092231412,0.0,0.002252545750131413,0.00024986919464772725,0.001532522327701393
PWY-1042,4.1811994232570475,0.7458065604293286,1.35257419400228,0.7520950195908336,0.3871841068700732,3.4304832782753114,2.1554446520923904
PWY-1269,0.24790602067615242,0.6808341888009484,0.6199130942717127,0.0,0.0,2.7208943093581066,0.0
PWY-1361,0.0,0.001308210189286897,0.0,0.0,0.0,5.2977799224944585e-05,0.0
PWY-1501,0.0,0.0013271823090403485,0.0,0.0,0.0,0.0,0.0
PWY-1541,0.0,0.02325541344242737,0.0,0.0,0.0,0.0,0.0
PWY-1622,0.0,0.007047810540236863,0.0,6.298067475348354e-13,0.006915283778864157,0.0,0.0
PWY-181,0.0,0.0005453653966099442,0.0,8.968236522669722e-06,0.030616135786800627,0.0,0.0
PWY-1861,2.100025139329628e-07,0.315156659533338,0.010817307304455952,0.18067239716974312,0.5044881446971275,0.0,1.0912153517852443
