,0,1,2,3,4
Megamonas,0.2542104608463859,0.19703722918432084,0.005183680795422548,7.843497893827574e-05,0.03931395782259491
Megasphaera,0.07185771131376292,0.30831793510191713,0.20540071746243455,0.03675817793562226,0.002615493305645416
Melaminivora,0.0,2.451564543692982e-05,0.0,0.0,0.0
Melissococcus,3.6937874142774367e-07,1.265872821558306e-05,1.0070148107057104e-06,1.3375462119722845e-10,2.2166123754696005e-15
Metakosakonia,0.0,0.0,0.0002570032072807071,0.0017719579018140607,0.0
Methanobrevibacter,8.238987597711618e-13,0.0006382052979509706,6.166495603272173e-11,4.771455911652483e-16,1.9511640518478806
Methanomassiliicoccus,0.012524969588885103,0.0,0.0,0.0,0.010198667599583752
Methanosphaera,0.0,4.674391279064332e-05,6.82920020586073e-15,7.584334251006725e-15,0.07503849818516099
Methylobacterium,0.0,0.0,0.0001971128041601863,7.392530115526264e-05,0.0
Micrococcus,2.3964016758302387e-06,0.0001731134668142537,0.0,0.0019867075752265963,0.0
Microlunatus,0.0,1.4393782367947508e-07,0.0,0.0,0.0
Microvirgula,0.0,0.0,0.0,0.004812585218325577,0.0
Mitsuokella,0.015454144864975991,0.4622385475408887,6.535186930223629e-15,0.0,0.017725816259131378
Mixta,0.0,0.0,0.0,0.03168491361408969,0.0
Mobiluncus,0.0,0.00037662031825473684,4.633135082428518e-12,0.0,2.5722548327366857e-12
Moellerella,0.0,0.0,0.0,0.0,0.00011966318202756054
Mogibacterium,2.0149137195396197e-05,0.000358021575415994,0.0015506437678055628,0.0035588707873487574,0.005084509542527753
Monoglobus,0.013075936606514543,0.0,0.0,0.0,0.2579188464673346
Moraxella,1.4162830034159627e-05,0.0008331801657860359,0.0,0.0006374000799817483,0.0
Morganella,8.153450681312073e-09,0.0,5.97987697551655e-12,0.0932917684773993,1.8207127111207808e-09
Morococcus,2.0236376964947866e-06,1.7021759715931862e-05,0.0,2.235508937845007e-05,0.0
Muribaculaceae_unclassified,0.0,0.0,0.0,0.0,5.74742406852652e-05
Muribaculum,9.741002617185344e-07,0.0,0.0,0.0,0.0030762805636066815
Murimonas,0.0005772327354590826,0.0,4.119591491778992e-05,0.0,1.0198545251164023e-06
Mycobacterium,9.530899072099705e-05,0.0,0.0,0.0,0.0
Mycobacteroides,0.0,0.0,0.0,0.0035658959395509426,0.0
Mycolicibacterium,0.0,0.0,0.0,0.0009230798449696634,0.0
Mycoplasma,6.178305929515707e-05,0.00024705025272465047,0.0,0.0002913225368406534,4.922373202966042e-13
Negativicoccus,0.0,0.019119519795697107,0.0004549622539142887,0.023399763367905013,0.0
Neisseria,0.00042321809062859735,0.0006076797545358538,0.0008931249369332584,0.034016290913122686,0.0
Obesumbacterium,0.0,0.0,0.0,0.0,0.0
Ochrobactrum,0.0,0.0,1.4143683746935489e-09,1.76730877400555e-05,0.0
